id,scholarship_id,discipline
1,1,Business and finance
2,7,Business and finance
3,19,Business and finance
4,22,Business and finance
5,28,Business and finance
6,29,Business and finance
7,32,Business and finance
8,47,Business and finance
9,58,Business and finance
10,63,Business and finance
11,65,Business and finance
12,101,Business and finance
13,102,Business and finance
14,106,Business and finance
15,108,Business and finance
16,110,Business and finance
17,115,Business and finance
18,116,Business and finance
19,117,Business and finance
20,124,Business and finance
21,134,Business and finance
22,135,Business and finance
23,144,Business and finance
24,150,Business and finance
25,168,Business and finance
26,170,Business and finance
27,177,Business and finance
28,181,Business and finance
29,182,Business and finance
30,188,Business and finance
31,190,Business and finance
32,191,Business and finance
33,201,Business and finance
34,205,Business and finance
35,207,Business and finance
36,214,Business and finance
37,238,Business and finance
38,245,Business and finance
39,271,Business and finance
40,282,Business and finance
41,284,Business and finance
42,288,Business and finance
43,289,Business and finance
44,298,Business and finance
45,301,Business and finance
46,305,Business and finance
47,306,Business and finance
48,318,Business and finance
49,350,Business and finance
50,356,Business and finance
51,379,Business and finance
52,381,Business and finance
53,385,Business and finance
54,390,Business and finance
55,400,Business and finance
56,410,Business and finance
57,428,Business and finance
58,453,Business and finance
59,482,Business and finance
60,485,Business and finance
61,487,Business and finance
62,489,Business and finance
63,490,Business and finance
64,499,Business and finance
65,500,Business and finance
66,501,Business and finance
67,506,Business and finance
68,513,Business and finance
69,521,Business and finance
70,522,Business and finance
71,524,Business and finance
72,529,Business and finance
73,534,Business and finance
74,538,Business and finance
75,545,Business and finance
76,547,Business and finance
77,552,Business and finance
78,555,Business and finance
79,561,Business and finance
80,564,Business and finance
81,576,Business and finance
82,616,Business and finance
83,617,Business and finance
84,618,Business and finance
85,627,Business and finance
86,632,Business and finance
87,639,Business and finance
88,640,Business and finance
89,641,Business and finance
90,651,Business and finance
91,690,Business and finance
92,699,Business and finance
93,710,Business and finance
94,713,Business and finance
95,714,Business and finance
96,732,Business and finance
97,745,Business and finance
98,757,Business and finance
99,763,Business and finance
100,778,Business and finance
101,793,Business and finance
102,794,Business and finance
103,809,Business and finance
104,822,Business and finance
105,823,Business and finance
106,824,Business and finance
107,826,Business and finance
108,846,Business and finance
109,863,Business and finance
110,878,Business and finance
111,880,Business and finance
112,884,Business and finance
113,897,Business and finance
114,906,Business and finance
115,923,Business and finance
116,936,Business and finance
117,960,Business and finance
118,964,Business and finance
119,969,Business and finance
120,978,Business and finance
121,997,Business and finance
122,999,Business and finance
123,1008,Business and finance
124,1014,Business and finance
125,1015,Business and finance
126,1020,Business and finance
127,1023,Business and finance
128,1037,Business and finance
129,1055,Business and finance
130,1056,Business and finance
131,1069,Business and finance
132,1071,Business and finance
133,1077,Business and finance
134,1090,Business and finance
135,1105,Business and finance
136,1132,Business and finance
137,1133,Business and finance
138,1140,Business and finance
139,1163,Business and finance
140,1181,Business and finance
141,1184,Business and finance
142,2,Multidisciplinary
143,4,Multidisciplinary
144,5,Multidisciplinary
145,6,Multidisciplinary
146,8,Multidisciplinary
147,10,Multidisciplinary
148,11,Multidisciplinary
149,13,Multidisciplinary
150,14,Multidisciplinary
151,15,Multidisciplinary
152,17,Multidisciplinary
153,19,Multidisciplinary
154,20,Multidisciplinary
155,21,Multidisciplinary
156,23,Multidisciplinary
157,25,Multidisciplinary
158,27,Multidisciplinary
159,31,Multidisciplinary
160,34,Multidisciplinary
161,35,Multidisciplinary
162,36,Multidisciplinary
163,37,Multidisciplinary
164,38,Multidisciplinary
165,39,Multidisciplinary
166,40,Multidisciplinary
167,41,Multidisciplinary
168,42,Multidisciplinary
169,43,Multidisciplinary
170,45,Multidisciplinary
171,48,Multidisciplinary
172,49,Multidisciplinary
173,52,Multidisciplinary
174,53,Multidisciplinary
175,54,Multidisciplinary
176,56,Multidisciplinary
177,57,Multidisciplinary
178,60,Multidisciplinary
179,64,Multidisciplinary
180,68,Multidisciplinary
181,71,Multidisciplinary
182,73,Multidisciplinary
183,74,Multidisciplinary
184,75,Multidisciplinary
185,76,Multidisciplinary
186,78,Multidisciplinary
187,79,Multidisciplinary
188,80,Multidisciplinary
189,81,Multidisciplinary
190,82,Multidisciplinary
191,83,Multidisciplinary
192,84,Multidisciplinary
193,85,Multidisciplinary
194,86,Multidisciplinary
195,87,Multidisciplinary
196,88,Multidisciplinary
197,89,Multidisciplinary
198,92,Multidisciplinary
199,93,Multidisciplinary
200,94,Multidisciplinary
201,95,Multidisciplinary
202,97,Multidisciplinary
203,99,Multidisciplinary
204,101,Multidisciplinary
205,104,Multidisciplinary
206,107,Multidisciplinary
207,109,Multidisciplinary
208,111,Multidisciplinary
209,112,Multidisciplinary
210,113,Multidisciplinary
211,118,Multidisciplinary
212,119,Multidisciplinary
213,120,Multidisciplinary
214,122,Multidisciplinary
215,123,Multidisciplinary
216,126,Multidisciplinary
217,127,Multidisciplinary
218,128,Multidisciplinary
219,130,Multidisciplinary
220,131,Multidisciplinary
221,132,Multidisciplinary
222,133,Multidisciplinary
223,137,Multidisciplinary
224,138,Multidisciplinary
225,139,Multidisciplinary
226,141,Multidisciplinary
227,142,Multidisciplinary
228,143,Multidisciplinary
229,146,Multidisciplinary
230,147,Multidisciplinary
231,151,Multidisciplinary
