scholarship_id,name,sponsor,host,link,note,country_id
1,Aarhus BS,University,Denmark,http://bss.au.dk/en/programmes/master/,,DNK
2,Amandus H. Lundqvist Scholarship Program,University,Netherlands,https://www.tue.nl/en/studeren/studying-at-tue/study-costs-scholarships-and-grants/scholarships-and-grants/amandus-h-lundqvist-scholarship-program/,Continuation of the scholarship during the two years of the Master's program depends on the academic achievements of the student. The student’s academic results will be assessed in the spring following the start of the program.,NLD
3,Art Major Asian(AMA) Scholarship,University,South Korea,http://karts.ac.kr:8090/?MID=htmlContent&IDX=375,Ứng viên cần có tài năng về nghệ thuật vượt trội,KOR
4,ASEAN International Mobility for Students (AIMS) programme,Exchange,South Korea,http://rihed.seameo.org/programmes/aims/,"- Tùy trường bạn apply mới có học bổng này
- Phải viết luận nhưng không phỏng vấn",KOR
5,Carleton University Entrance Awards for International Students,University,Canada,https://carleton.ca/awards/scholarships/entrance-scholarships-for-new-students/scholarships/,Giá trị từ 4000 CAD đến 16000 CAD. Sinh viên phải được nhận vào trường với kết quả đạt trên 80% tiêu chuẩn đầu vào cũng như đảm bảo được yêu cầu về ngoại ngữ.,CAN
6,Endeavour Postgraduate Scholarship,Government,Australia,https://internationaleducation.gov.au/endeavour%20program/scholarships-and-fellowships/international-applicants/pages/international-applicants.aspx,Tuition fee tối đa là 15000 USD/học kỳ. Khoá học mà người apply chọn có tuition fee một kỳ vượt quá mức nêu trên thì người apply sẽ phải cam kết tự chi trả phần tuition fee vượt quá đó/hoặc lựa chọn một khoá học khác có tuition fee nằm trong hạn mức của học bổng.,AUS
7,Forté Fellowships,Fellowship,United States of America,http://www.fortefoundation.org/site/PageServer?pagename=premba_fellows#.WeTih4-CzZ4,"Candidates should exhibit exemplary leadership in one or more ways: academic leadership, team leadership, community leadership, and creative leadership.
Candidates should demonstrate a commitment to women and girls via personal mentorship or community involvement. Such commitment is in alignment with the mission of Forté Foundation.
Schools are encouraged to nominate fellows from their schools who represent diverse educational and work backgrounds, career goals, ethnicities and citizenship.",USA
8,Học Bổng Tiến Sĩ Và Sau Tiến Sĩ Tại Đại Học Texas 2018-2019,University,United States of America,http://www.hrc.utexas.edu/research/fellowships/application/,Học bổng còn dành cho cả bậc sau Tiến Sĩ,USA
9,Học Bổng Toàn Phần Tiến Sĩ Dành Cho Sinh Viên Quốc Tế Tại Chosun University,University,South Korea,http://asic.chosun.ac.kr,,KOR
10,Hong Kong PhD Fellowship,Fellowship,Hong Kong,https://l.facebook.com/l.php?u=https%3A%2F%2Fcerg1.ugc.edu.hk%2Fhkpfs%2Fapply.html&h=ATPv3dzyqcA_AxTj_UgvBdEX9q5yG_O9GvKc6eCDvD0Cnf5gf1puzlmEsdmdrPs0ttY9Xknyx9OgT7K4YYuQCKZu9bm5n5M-nEKzlYVNz-6Kup1ny4YGNGNDEL6EB-yWSznxb97l1nG-_li9cC1Phd83LUNXz89pYoT7TOjQZoVel096YThX8sJl-3Xv59HDTXGtFT7ViXisImEaBJxBpz6ugPZMh4TBzKF1BsaWyxUHR2uWG0h-qqaxnqA8RBev7f2sRaTFBiZtEeKaD8mRlQ,"Đây là học bổng PhD tại 8 trường đại học hàng đầu Hong Kong, tùy thuộc vào từng trường mà số tiền tài trợ khác nhau. Nhìn chung, người đạt học bổng sẽ được cấp chi phí nghiên cứu, sinh hoạt, tham gia hội nghị khoa học và tiền thưởng nếu đạt thành tích tốt.",UKN
11,HVIET summer camp for high school students,Conference,Vietnam,http://www.hviet.com/,"Học bổng này dành cho các bạn học sinh cấp 3. Tuy nhiên những bạn học năm 1,2 đại học muốn tham gia cũng được.
Học bổng maximum là 10 triệu cho 10 ngày traị hè.
Các bạn nên cố gắng viết bài luận tốt và có một vài thành tích cá nhân thì sẽ có khả năng nhận được học bổng toàn phần.",VNM
12,Institute of Design and Architecture Scholarships,University,Italy,http://isad-school.com/scholarships,,ITA
13,Kawaguchi Shizu Memorial Scholarship (The Asian Foundation for International Scholarship Interchange),Company,Japan,http://www.asian-foundation.org/scholarship/japanese.php,"*REQUIREMENT
 1)	Privately financed international students from Asian countries who are studying at, or allowed to be enrolled in a graduate school in Japan as a regular student with college visa status.
(2)	Those who are 34 years old or younger at the time of application.
(3)	Those who have good academic performance, and need a financial assistance.
(4)	Those who do not receive other scholarships.
(5)	Those who have Japanese language proficiency certificate TOPJ with advanced C level (JLPT with a similar level also accepted).

*SCHOLARSHIP
Undergraduates and master's students, 60,000 for a month. Doctoral students, 70,000 yen for a month",JPN
14," Ludwig-Maximilian University of Munich Doctoral Scholarships for International Students in Germany, 2017",University,Germany,http://www.en.uni-muenchen.de/about_lmu/contact/int_office/services/services_incomings/support_for_all_incomings/scholarships/scholarships_for_incomings/lmu_scholarship/index.html,,DEU
15,Master’s Degree Program JFY 2018,Government,Japan,http://www.seed-net.org/application-forms/,"Để nộp đơn xin học bổng cần đạt ít nhất 1 trong các yêu cầu sau: xếp hạng tốt nghiệp hoặc điểm trong năm gần nhất nằm trong top 15% của lớp; có điểm GPA ít nhất 3.0 trên 4 hoặc 7.5 trên 10; hoặc có thành tích nghiên cứu, học tập nổi trội ( kèm theo chứng nhận)",JPN
16,My Travel Luggage Advance Scholarship Program,Company,United States of America,http://www.my-travel-luggage.com/scholarship/,"Under this scholarship, applicants need to write 1000-1500 words on the provided topics, and the best one will be the awarded with 500$. By participating in this scholarship, you need to prove your strong writing ability.
Deadline: 10 Oct 2018
Award announce: 1 Jan 2019",USA
17," Politecnico di Milano Merit-based Scholarship, Italy",University,Italy,http://www.polinternational.polimi.it/how-to-apply/laurea-magistrale/scholarships/,"Có 3 cấp học bổng:
Platinum: Miễn học phí + EUR 10.000 sinh hoạt phí trong 1 năm. 
Gold: Miễn học phí + EUR 5000 sinh hoạt phí trong 1 năm
Silver: Miễn học phí
Các học bổng đều được duy trì cho năm tiếp theo nếu đáp ứng được thành tích học tập.",ITA
18," tAntenna Systems and Applications Laboratory at EE department in Hongik University, Seoul, Korea",University,South Korea,http://grad.hongik.ac.kr/subpage/foreigner.php?id=3,,KOR
19,the Holland Scholarship programme,University,Netherlands,https://stenden.com/en/practical-information/scholarships/,"IELTS 6.0 trở lên
Chỉ trợ cấp cho năm đầu tiên",NLD
20,UNIST Scholarship in Korea,University,South Korea,http://adm-u.intl.unist.ac.kr/,,KOR
21," University of British Columbia Scholarships for International Students in Canada, 2018",University,Canada,http://you.ubc.ca/financial-planning/scholarships-awards-international-students/,"To be considered for the IMES, you must
+     Be new to UBC, entering directly from secondary school or post-secondary (university or college)
+   Be an international student who will be studying at UBC on a Canadian study permit (student visa). (Changes to your citizenship status will affect your IMES eligibility.)
+  Demonstrate exceptional academic achievement and intellectual promise, as well as impressive extracurricular and community involvement
+   Apply to UBC by January 15",CAN
22,Vietnam Young Leader Awards,Government,Vietnam,https://www.vyla.info/,Ưu tiên các bạn làm khối nhà nước,VNM
23,“Let Wisdom Rise” Scholarship Competition,University,United States of America,http://www.randolphcollege.edu/admission/scholarship-competition/,"Phải nộp đơn nhập học vào trường trước khi apply học bổng.
Cần nộp học bạ, SAT/ACT đúng hạn:
Mùa thu: November 4
Mùa xuân: February 10",USA
24,[Hàn Quốc] Học bổng toàn phần sau đại học tại Viện Khoa học và Công nghệ Deagu Gyeongbuk (DGIST) 2018,University,South Korea,http://admission.dgist.ac.kr/site/dgist_admission/menu/478.do,,KOR
25,[Slovak Republic] Học Bổng Chính Phủ Cộng Hòa Slovakia 2017-2018,Government,Slovakia,https://www.scholarships.sk/en/main/programme-terms-and-conditions/foreign-applicants,,SVK
26,[UK] Học Bổng Thạc Sĩ IMSISS and ERASMUS Mundus 2018,Government,United Kingdom,"https://www.gla.ac.uk/postgraduate/erasmusmundus/imsiss/#/aboutimsiss,keyfacts,whystudythisprogramme?","You should have a 2.1 Honours degree or equivalent qualification in a relevant subject, such as, but not limited to politics, international relations, history, area and cultural studies, law, sociology, criminology, human geography, computing science, language sciences, global studies, psychology, media studies and journalism, modern languages or business. Other disciplines not listed here will be considered on an individual basis. ",GBR
27,8th Model Asia-Europe Meeting,Conference,Myanmar,http://asef.org/projects/themes/education/4104-modelasem8,,MMR
28,30% Club / ESMT MBA Women's Scholarship,University,Germany,https://www.esmt.org/degree-programs/full-time-mba/fees-and-financing/mba-scholarships,"- Học bổng MBA dành cho nữ. 
- Phải chứng minh được là đã có sự xuất sắc trong leadership trong công việc.",DEU
29,100% MBA Scholarship at École des Ponts Business School,University,France,https://pontsbschool.com/programs/full-time-mba/new-mba-scholarships/,"These merit-based scholarships will be awarded to applicants on a first-come, first-served basis.
(Vì hôm nay em cũng mới kiếm học bổng này ạ nên em cũng chỉ biết trong nội hạt website đưa tin thôi ạ )",FRA
30,200 suất học bổng du học miễn phí tại Đài Loan,University,Taiwan,http://vietnamtimes.info/2017/09/20/200-suat-hoc-bong-du-hoc-mien-phi-dai-loan/,"18-25 yrs-old
GPA >= 6.5
Graduated High school",TWN
31,600 Tennessee Tech University Scholarships in USA,University,United States of America,https://www.tntech.edu/em/scholarships/,"Học bổng trị giá nhất lên tới 100% học phí, còn có cả phí sinh hoạt và các khoản hỗ trợ khác khi sống tại Mỹ ạ .",USA
32,A. Wilhelmsen Foundation scholarship programme,Company,Norway,https://www.bi.edu/study-at-bi/scholarships/a.-wilhelmsen-foundation-scholarship-programme/,Học bổng này có giá trị NOK 75 000 chỉ trao cho sinh viên đang theo học tại trường BI Norwegian Business school ạ.,NOR
33,A.S. Hornby Trust Scholarship Programme,University,United Kingdom,http://www.hornby-trust.org.uk/home/4557353331,Theo như em đọc được thì nếu muốn apply học bổng này thì phải liên hệ với trang Bristish Council chứ không phải web chính thức,GBR
34,"AAI One World Scholarship Programme for Developing Countries in Austria, 2017",,Austria,http://www.aai-salzburg.at/en_students_scholarship.htm,,AUT
35,Aalto University Scholarship programme,University,Finland,http://www.aalto.fi/en/studies/fees_and_scholarships/,,FIN
